origin_date,target_date,dr_d,dr_w,dr_m,sd_d,sd_w,sd_m,qt_d,qt_w,qt_m,rqminus,m_intraday_returns,me_sd,me_interaction,target_dr,target_sd,target_qt,target_close_return,evaluation_year,high_risk_threshold,extreme_return_threshold,raw_forecast_dr,sqrt_forecast_dr,quartic_forecast_dr,me_forecast_dr
2021-12-30,2022-01-03,1.1498991431962766e-05,1.3367004267236647e-05,2.9565341080504934e-05,0.0033910162830577454,0.003612993704375072,0.005155963406294818,0.05823243325722999,0.05992846561805296,0.07091201807121132,8.113583409405846e-10,275,0.00028316211096307,9.602073290207745e-07,3.0800347928470875e-05,0.005549806116295494,0.07449702085516906,-0.0077489513852337785,2022,6.32933221220843e-05,-0.01691557255196796,2.4277108285498598e-05,1.9195438354966016e-05,1.7717387637066797e-05,1.9026939809753752e-05
2022-01-03,2022-01-04,3.0800347928470875e-05,1.7439070245114047e-05,2.6828570182888143e-05,0.005549806116295494,0.004076734592482642,0.004974596418104691,0.07449702085516906,0.06345931372288796,0.06985859590349904,7.2587364020194765e-09,275,0.0005175012050726587,2.87203135310253e-06,1.5936533571323366e-05,0.003992058813610261,0.06318274142208663,0.006361584956956199,2022,6.32933221220843e-05,-0.01691557255196796,2.9809907009465732e-05,2.5884989432355852e-05,2.438085650485326e-05,2.6080679416295204e-05
2022-01-04,2022-01-05,1.5936533571323366e-05,1.8940560121414587e-05,2.49334671407452e-05,0.003992058813610261,0.004294488652601149,0.004810991657508798,0.06318274142208663,0.06531942750786583,0.06877015545295848,3.490075811152893e-09,275,0.0004988605524624845,1.9914806652203454e-06,3.467216310774287e-05,0.005888307321101954,0.0767353068743584,-0.005314261368923972,2022,6.32933221220843e-05,-0.01691557255196796,2.6562247697813074e-05,2.2391839389583536e-05,2.116606633462646e-05,2.2270481527821786e-05
2022-01-05,2022-01-06,3.467216310774287e-05,2.214404195491162e-05,2.535354628887777e-05,0.005888307321101954,0.004608327127077513,0.004849421149386965,0.0767353068743584,0.06752249413422953,0.06903025636449543,1.4006731977620934e-08,275,0.0006775425972755259,3.989579035895912e-06,3.189637904808235e-05,0.005647687938270169,0.07515110071229941,-0.007075877029866646,2022,6.32933221220843e-05,-0.01691557255196796,3.2145106348288436e-05,2.8631277813001903e-05,2.723471987145841e-05,2.8814451447699264e-05
2022-01-06,2022-01-10,3.189637904808235e-05,2.4960883017516445e-05,2.5775523807149266e-05,0.005647687938270169,0.004893775294467125,0.004889984258729093,0.07515110071229941,0.06955972062422869,0.06931173003804784,5.83842125475789e-09,275,0.0004560743896457578,2.5757658293562756e-06,1.646193864191027e-05,0.004057331468084691,0.06369718571557688,0.007845487334240278,2022,6.32933221220843e-05,-0.01691557255196796,3.2551446958434735e-05,2.914953687439688e-05,2.7850357595041255e-05,2.9390991023300852e-05
2022-01-10,2022-01-11,1.646193864191027e-05,2.5953472459505946e-05,2.266092012827203e-05,0.004057331468084691,0.005027038331472514,0.004655379581543201,0.06369718571557688,0.07065267111589807,0.06784279667617425,1.625859786627175e-09,275,0.0003350115030686066,1.3592527135706086e-06,1.3598882482559646e-05,0.003687666265073298,0.06072615799697275,0.006339063906939684,2022,6.32933221220843e-05,-0.01691557255196796,2.8802290820862732e-05,2.4920918253856204e-05,2.3753209407485785e-05,2.4852864339733103e-05
2022-01-11,2022-01-12,1.3598882482559646e-05,2.25131793703237e-05,2.1283214181819462e-05,0.003687666265073298,0.004654610361228074,0.004521803394612439,0.06072615799697275,0.0678984985442588,0.06690296982501097,1.027474760393799e-09,275,0.000293016876621959,1.0805484510159428e-06,1.1029974368982089e-05,0.0033211405223179113,0.05762933734061074,0.004269561673231806,2022,6.32933221220843e-05,-0.01691557255196796,2.670731497994584e-05,2.243522116467533e-05,2.1171993478805645e-05,2.232346627020155e-05
2022-01-12,2022-01-13,1.1029974368982089e-05,2.1531867529855446e-05,1.981386884246173e-05,0.0033211405223179113,0.004520426702969605,0.004373469109043642,0.05762933734061074,0.06678781772796363,0.06583408061074981,1.0199861027181508e-09,275,0.0003241668042324489,1.0766035095266835e-06,1.8447384858927704e-05,0.004295041892569583,0.06553656912418884,-1.0963315265393591e-05,2022,6.32933221220843e-05,-0.01691557255196796,2.5532630184172443e-05,2.0855873093450093e-05,1.9460513133384094e-05,2.067502898546885e-05
2022-01-13,2022-01-17,1.8447384858927704e-05,1.8286911880092412e-05,1.9765889079344862e-05,0.004295041892569583,0.00420177361726313,0.004367961319153367,0.06553656912418884,0.06454807017792971,0.0657923521366983,1.7545755816027238e-09,275,0.00032875873466496803,1.4120325379342055e-06,8.600771854569096e-06,0.002932707256882128,0.05415447587117918,-0.0044290669370887405,2022,6.32933221220843e-05,-0.01691557255196796,2.6121114803241162e-05,2.213293609375887e-05,2.0918196413197473e-05,2.216501187776471e-05
2022-01-17,2022-01-18,8.600771854569096e-06,1.3627790441389764e-05,1.917435247717521e-05,0.002932707256882128,0.003658777480985523,0.004289941285490663,0.05415447587117918,0.06034874520970568,0.06515461644843243,6.93418231637016e-10,245,0.0003206792674888846,9.40458414896297e-07,3.700224098383458e-05,0.006082946735245557,0.07799324801061665,-0.003377521528492215,2022,6.32933221220843e-05,-0.01691557255196796,2.2082300900874922e-05,1.7100473575263378e-05,1.5716046353558555e-05,1.689141066757214e-05
2022-01-18,2022-01-19,3.700224098383458e-05,1.7735850909774623e-05,1.996953315383876e-05,0.006082946735245557,0.004063900534417695,0.004365674487765313,0.07799324801061665,0.06320795766871364,0.06567889442873522,1.215290117405637e-08,275,0.0006109204084520325,3.7161963040881734e-06,1.2540428473289449e-05,0.0035412467399617113,0.05950837537659478,0.01537338990173968,2022,6.32933221220843e-05,-0.01691557255196796,3.0306563928090095e-05,2.624153929297602e-05,2.4497516885926204e-05,2.65448403193328e-05
