origin_date,target_date,dr_d,dr_w,dr_m,sd_d,sd_w,sd_m,target_dr,target_sd,target_close_return,evaluation_year,formation_n,formation_mean_dr,high_risk_threshold,extreme_return_threshold,raw_har_dr_forecast,sqrt_har_sd_forecast,sqrt_har_dr_forecast,actual_high_risk,raw_high_risk_alert,sqrt_high_risk_alert,raw_normalized_risk_score,sqrt_normalized_risk_score
2021-12-30,2022-01-03,1.1498991431962766e-05,1.3367004267236647e-05,2.9565341080504934e-05,0.0033910162830577454,0.003612993704375072,0.005155963406294818,3.0800347928470875e-05,0.005549806116295494,-0.0077489513852337785,2022,323,4.9531718039557e-05,6.32933221220843e-05,-0.01691557255196796,2.427710828549862e-05,0.0043812599049777926,1.9195438354966016e-05,0,0,0,0.38356508193188765,0.3032774661115212
2022-01-03,2022-01-04,3.0800347928470875e-05,1.7439070245114047e-05,2.6828570182888143e-05,0.005549806116295494,0.004076734592482642,0.004974596418104691,1.5936533571323366e-05,0.003992058813610261,0.006361584956956199,2022,323,4.9531718039557e-05,6.32933221220843e-05,-0.01691557255196796,2.9809907009465742e-05,0.00508772930022381,2.5884989432355862e-05,0,0,0,0.47098028686132865,0.4089687278924497
2022-01-04,2022-01-05,1.5936533571323366e-05,1.8940560121414587e-05,2.49334671407452e-05,0.003992058813610261,0.004294488652601149,0.004810991657508798,3.467216310774287e-05,0.005888307321101954,-0.005314261368923972,2022,323,4.9531718039557e-05,6.32933221220843e-05,-0.01691557255196796,2.6562247697813094e-05,0.004732001626118015,2.2391839389583536e-05,0,0,0,0.41966903943796935,0.3537788606891686
2022-01-05,2022-01-06,3.467216310774287e-05,2.214404195491162e-05,2.535354628887777e-05,0.005888307321101954,0.004608327127077513,0.004849421149386965,3.189637904808235e-05,0.005647687938270169,-0.007075877029866646,2022,323,4.9531718039557e-05,6.32933221220843e-05,-0.01691557255196796,3.214510634828845e-05,0.005350820293469208,2.8631277813001903e-05,0,0,0,0.5078751639277974,0.45235858781082816
2022-01-06,2022-01-10,3.189637904808235e-05,2.4960883017516445e-05,2.5775523807149266e-05,0.005647687938270169,0.004893775294467125,0.004889984258729093,1.646193864191027e-05,0.004057331468084691,0.007845487334240278,2022,323,4.9531718039557e-05,6.32933221220843e-05,-0.01691557255196796,3.255144695843475e-05,0.00539903110515182,2.914953687439688e-05,0,0,0,0.5142951241467052,0.4605467985733368
2022-01-10,2022-01-11,1.646193864191027e-05,2.5953472459505946e-05,2.266092012827203e-05,0.004057331468084691,0.005027038331472514,0.004655379581543201,1.3598882482559646e-05,0.003687666265073298,0.006339063906939684,2022,323,4.9531718039557e-05,6.32933221220843e-05,-0.01691557255196796,2.8802290820862753e-05,0.004992085561552026,2.4920918253856204e-05,0,0,0,0.4550605001473459,0.39373692860973714
2022-01-11,2022-01-12,1.3598882482559646e-05,2.25131793703237e-05,2.1283214181819462e-05,0.003687666265073298,0.004654610361228074,0.004521803394612439,1.1029974368982089e-05,0.0033211405223179113,0.004269561673231806,2022,323,4.9531718039557e-05,6.32933221220843e-05,-0.01691557255196796,2.6707314979945863e-05,0.004736583279609399,2.243522116467533e-05,0,0,0,0.42196102344621833,0.3544642690962059
2022-01-12,2022-01-13,1.1029974368982089e-05,2.1531867529855446e-05,1.981386884246173e-05,0.0033211405223179113,0.004520426702969605,0.004373469109043642,1.8447384858927704e-05,0.004295041892569583,-1.0963315265393591e-05,2022,323,4.9531718039557e-05,6.32933221220843e-05,-0.01691557255196796,2.5532630184172463e-05,0.004566823085411793,2.0855873093450093e-05,0,0,0,0.4034016437772607,0.3295114301825068
2022-01-13,2022-01-17,1.8447384858927704e-05,1.8286911880092412e-05,1.9765889079344862e-05,0.004295041892569583,0.00420177361726313,0.004367961319153367,8.600771854569096e-06,0.002932707256882128,-0.0044290669370887405,2022,323,4.9531718039557e-05,6.32933221220843e-05,-0.01691557255196796,2.6121114803241186e-05,0.0047045654521707825,2.213293609375888e-05,0,0,0,0.41269938008400114,0.34968832969562613
2022-01-17,2022-01-18,8.600771854569096e-06,1.3627790441389764e-05,1.917435247717521e-05,0.002932707256882128,0.003658777480985523,0.004289941285490663,3.700224098383458e-05,0.006082946735245557,-0.003377521528492215,2022,323,4.9531718039557e-05,6.32933221220843e-05,-0.01691557255196796,2.2082300900874946e-05,0.00413527188649832,1.7100473575263378e-05,0,0,0,0.3488883212399747,0.2701781641715514
